account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
JPAndreas1,0,0.6730573251841802,0.32694267481581984,1,1.0,0.0,7,0,7
jshaw423,0,0.7641220632304491,0.235877936769551,-1,0.0,1.0,0,4,4
juliana_swenson,0,0.7020151288634469,0.2979848711365531,-1,0.0,1.0,0,1,1
julieburtonwmc,0,0.8753084083990945,0.12469159160090551,-1,0.0,1.0,0,6,6
justaoifethings,0,0.754570406994916,0.24542959300508407,-1,0.0,1.0,0,4,4
justinbook18,1,0.40069710526893665,0.5993028947310634,1,1.0,0.0,9,0,9
JVanMaren,0,0.5801299715565968,0.4198700284434032,1,0.9,0.1,18,2,20
katherine_ae,0,0.8207988372793205,0.17920116272067954,-1,0.0,1.0,0,6,6
katie_jacob55,0,0.5233778049690148,0.47662219503098524,-1,0.8888888890000001,0.111111111,8,1,9
KatLTosh,0,0.732433952166669,0.267566047833331,-1,0.0,1.0,0,1,1
Keithhinton8,1,0.4970319280694666,0.5029680719305334,1,1.0,0.0,12,0,12
kelseamcbelsea,0,0.7425978440527583,0.2574021559472417,1,0.0,1.0,0,21,21
KGHerriott23,1,0.30285900974263336,0.6971409902573666,1,1.0,0.0,1,0,1
kgscanlon,1,0.34222044943601126,0.6577795505639887,1,0.923076923,0.076923077,12,1,13
kimidwa,0,0.6844888707969883,0.3155111292030118,1,1.0,0.0,3,0,3
Klaskarides,0,0.7076202094976385,0.29237979050236146,-1,0.0,1.0,0,1,1
KmTilley,0,0.7489265507311511,0.2510734492688489,-1,0.0,1.0,0,4,4
laurelmoth,0,0.8215186472866243,0.17848135271337567,-1,0.0,1.0,0,4,4
lifepathMAS,1,0.08448935782229594,0.9155106421777041,1,1.0,0.0,3,0,3
likallman,0,0.8266914226627828,0.17330857733721713,-1,0.0,1.0,0,1,1
Linzito85,0,0.6351190544975597,0.3648809455024403,1,0.0,0.0,0,0,0
littlemissevec,0,0.7503952932410451,0.2496047067589549,-1,0.0,1.0,0,7,7
Lizard_UK,0,0.6686502348007541,0.3313497651992458,1,1.0,0.0,1,0,1
LizYohnRN,0,0.7006960878477233,0.29930391215227675,-1,0.0,1.0,0,17,17
LoriDeForest62,0,0.6986132051520684,0.3013867948479316,-1,0.0,1.0,0,1,1
LuiGui_FCh,0,0.6677850809612561,0.3322149190387439,1,0.5,0.5,1,1,2
lwsplash,0,0.7015516026084447,0.29844839739155526,-1,0.0,1.0,0,2,2
madelbean,0,0.775506518537448,0.22449348146255196,-1,0.0,1.0,0,3,3
Manuela2day,1,0.4159515480524506,0.5840484519475494,1,0.833333333,0.166666667,5,1,6
margorice86,0,0.7023495279874354,0.2976504720125645,-1,0.0,1.0,0,1,1
marthahorton2,0,0.6190451796474574,0.38095482035254263,1,1.0,0.0,1,0,1
mikealfinito,0,0.7143084252855713,0.28569157471442874,1,1.0,0.0,1,0,1
MikeMorganMN,1,0.4587470780343741,0.5412529219656259,1,1.0,0.0,1,0,1
misbehavens,0,0.6797084624111154,0.32029153758888457,1,1.0,0.0,4,0,4
miskinlaw,0,0.6811978394581668,0.31880216054183325,-1,0.0,1.0,0,5,5
miss_kGa,0,0.6901933562308928,0.3098066437691071,1,0.875,0.125,7,1,8
Miss_Sam_Kelly,0,0.575344946805953,0.424655053194047,1,1.0,0.0,1,0,1
MJLucey,0,0.6733983466747806,0.32660165332521934,-1,0.0,1.0,0,2,2
molly_trivette,0,0.5662670492305923,0.43373295076940765,1,1.0,0.0,6,0,6
MonetteStephen,0,0.6861437464579012,0.3138562535420988,1,1.0,0.0,17,0,17
Morgan0livia,0,0.6118667473587753,0.3881332526412246,-1,0.0,1.0,0,1,1
Mr_TomMyers,0,0.6891251158492893,0.31087488415071074,-1,0.0,1.0,0,1,1
MrsDoma,0,0.5416985353547528,0.4583014646452473,1,0.944444444,0.055555556,17,1,18
