User,stance
JPAndreas1,0.2567051239263185
jshaw423,0.31967761878600465
juliana_swenson,0.2774724459366176
julieburtonwmc,0.45506947656494134
justaoifethings,0.44928041336840224
justinbook18,-0.267626758367427
JVanMaren,0.13124399514768464
katherine_ae,0.4484726340707643
katie_jacob55,0.17172945332066308
KatLTosh,0.43513665486937164
Keithhinton8,-0.25930155880294237
kelseamcbelsea,0.3318835583384726
KGHerriott23,-0.48285527597165234
kgscanlon,-0.2542469418683365
kimidwa,0.2220611251322484
Klaskarides,0.46131479077842663
KmTilley,0.2743502795447104
laurelmoth,0.49651864728662426
lifepathMAS,-0.7004756771427391
likallman,0.4601992760659242
Linzito85,0.3222477673688468
littlemissevec,0.45289257880021994
Lizard_UK,0.2913328956513539
LizYohnRN,0.3284333141250956
LoriDeForest62,0.28666351961747716
LuiGui_FCh,-0.046500633324458196
lwsplash,0.2971800179089912
madelbean,0.4619930050239345
Manuela2day,-0.38227996320156865
margorice86,0.36127006771757036
marthahorton2,-0.04762148701920921
mikealfinito,0.28268051830882707
MikeMorganMN,0.05874707803437407
misbehavens,0.3365028874982234
miskinlaw,0.2255277363653833
miss_kGa,0.31560863862291944
Miss_Sam_Kelly,0.18645605791706416
MJLucey,0.3830757660296193
molly_trivette,-0.24623295076940765
MonetteStephen,0.23767046401515313
Morgan0livia,0.31586674735877535
Mr_TomMyers,0.3301507568749303
MrsDoma,-0.051424673814301713
Muir_maid,0.4022571646896376
okinnear3,0.34583328925998774
OnlyGirlOfTen,-0.46851191095500666
PatKernanQuinn,0.18295892425368832
Pearl_Barney,0.3593974982731668
PeterJohnRowe,0.12073425393897563
ProfHarlan,0.3820370799872319
Prolifefriend,-0.6365002819429203
rabbrady,-0.03547172797034659
realsophieyates,0.572358461310583
RebeccaG2012,-0.01780293346288253
RedPillSlayer,0.28107530093756605
regright,0.24330285807508667
ReinyDey,-0.11421650524941296
RepMyers,0.38709653363520796
richard_bushey,0.17463268623257977
richellenicole,0.3846906421981098
riconservative,0.24646626111322312
rjg27,0.3190907488311443
RKCSouthern,0.33059282882219837
RockBautumn,0.3050449418230767
Rodrigo_Bares,0.2927617709207661
RooForLife,-0.2799169241627286
RoseAntonia13,0.3721632122978611
RoxieToxic_,0.4662169523768552
RyanBizarri,0.21729982570893358
samscrta,0.26953721047722917
SamuelRWeaver1,-0.035439376029127945
scarr6612,0.1897228008256021
scopferbrace,0.35268969505425907
sexualhealthns,0.48428177819002644
shaunkenyon1967,0.3079842403595042
SheriTreadwell,0.3092106550990368
ShinobiShawn2,0.29126464026322374
ShooguhLipz,0.46485390994965464
SimonCookeMSI,0.5712866224790629
sineadgallivann,0.3425441180720915
soihadanabort,0.22231220529705586
sojourner_blanc,0.3613896338855011
strangemoore,0.40171130206784406
sydneyrenee3,0.3228411983079834
T2theGuajardo,-0.07493008602967488
The_Alma_D,0.34796905708965653
thejacksonlacy,0.3445050300986996
thejessicaraven,0.5825836202343553
TheOpenMicah,0.11760144125774996
tideslifefaith,-0.18377004418826126
tjbayus1,0.200773196754791
tkose98,0.16580119839799345
TomBurdolski,-0.05788128054478836
toratannerchung,0.2549528823313643
Trevor_Horne,0.43637279674770624
trianglescheme,-0.17699811645528696
turnerdina1,0.05565778608252192
UKStorageGuru,0.3816789298504334
vailkoyo,0.36171927011545574
VERASTEGUI100,-0.3790003880746142
Vikar_Singh,0.3330795761038028
VLabarum,-0.0001953606634971239
wafulkerson1,0.43879391456911704
WarrenDavidson,0.17851881862164704
WilsonRx,0.028332056496667146
wordspurify27,0.1572866594667594
