account_name,predict_class,prochoice_strength,prolife_strength,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt,account_type
prolifecampaign,1,0.21299947765776794,0.7870005223422321,0.967741935483871,0.03225806451612903,30,1,31,1
ProLifeDem,1,0.4106734890049035,0.5893265109950965,0.9090909090909092,0.09090909090909093,10,1,11,1
ProLifeLSU,1,0.1963877101660354,0.8036122898339646,0.9333333333333332,0.06666666666666668,14,1,15,1
ProLifeMastery,1,0.495456905765691,0.504543094234309,0.0,0.0,0,0,0,1
prolifenews,1,0.4629157859257218,0.5370842140742782,0.0,0.0,0,0,0,1
ProLifePolitics,1,0.09207240332576683,0.9079275966742332,0.76,0.24,19,6,25,1
prolifepoppop,1,0.20696235526885698,0.793037644731143,0.8292682926829268,0.17073170731707318,34,7,41,1
ProLifeYouth,1,0.157137567932904,0.842862432067096,1.0,0.0,25,0,25,1
recallabortion,1,0.3745469762391155,0.6254530237608845,0.9285714285714286,0.07142857142857142,26,2,28,1
RosaryMovement,1,0.15769221276514245,0.8423077872348576,1.0,0.0,12,0,12,1
SanDiegoProLife,1,0.09228012777674177,0.9077198722232582,0.9545454545454546,0.045454545454545456,21,1,22,1
SBAList,1,0.0848921112069112,0.9151078887930888,0.8823529411764706,0.1176470588235294,30,4,34,1
spucprolife,1,0.1518698910431312,0.8481301089568688,0.8571428571428571,0.14285714285714285,30,5,35,1
usccbprolife,1,0.48253324838091805,0.517466751619082,0.9565217391304348,0.043478260869565216,22,1,23,1
WeAreProLife_,1,0.12040644475183582,0.8795935552481642,1.0,0.0,4,0,4,1
abortion_clinic,0,0.7010504562400308,0.2989495437599692,0.0,1.0,0,6,6,0
Abortion_Rights,0,0.8486236059124941,0.15137639408750597,0.0,1.0,0,23,23,0
AbortionCare,0,0.8035496543725554,0.19645034562744454,0.043478260869565216,0.9565217391304348,1,22,23,0
AbortionFunds,0,0.8248433020855658,0.1751566979144342,0.0,1.0,0,31,31,0
abortionpil,0,0.7655919360047255,0.23440806399527447,0.047619047619047616,0.9523809523809524,1,20,21,0
AbortionRights,0,0.7905268892609107,0.2094731107390892,0.0,1.0,0,6,6,0
AbortionStories,0,0.7471626842484786,0.25283731575152135,0.0,1.0,0,18,18,0
AbortionSupport,0,0.837160765530751,0.16283923446924894,0.0,1.0,0,26,26,0
AcpAbortion,0,0.7169701466640451,0.2830298533359549,0.03333333333333333,0.9666666666666668,1,29,30,0
alranztweets,0,0.754934124120198,0.24506587587980203,0.0,1.0,0,7,7,0
BaltimoreFund,0,0.8764132517779004,0.12358674822209954,0.043478260869565216,0.9565217391304348,1,22,23,0
BronxAbortion,0,0.7358985477352911,0.2641014522647089,0.0,1.0,0,13,13,0
ChiAbortionFund,0,0.7991602024448279,0.2008397975551721,0.0,1.0,0,17,17,0
DCAbortionFund,0,0.8100468116986395,0.18995318830136057,0.04166666666666666,0.9583333333333334,1,23,24,0
Doctors4Choice,0,0.8450204687824756,0.15497953121752442,0.04,0.96,1,24,25,0
Feminists4Life,1,0.13924955146755347,0.8607504485324465,1.0,0.0,5,0,5,0
freesafelegal,0,0.8259206134458655,0.17407938655413446,0.043478260869565216,0.9565217391304348,1,22,23,0
LPJLeague,0,0.8353454871111037,0.16465451288889627,0.0,1.0,0,21,21,0
MSFC,0,0.8370544648507143,0.16294553514928567,0.0,1.0,0,17,17,0
NatAbortionFed,0,0.855614853545517,0.14438514645448303,0.0,1.0,0,26,26,0
NCAbortionFund,0,0.7933807656286467,0.2066192343713533,0.0,1.0,0,21,21,0
NDWINFund,0,0.827675458920596,0.17232454107940395,0.0,1.0,0,14,14,0
needabortionire,0,0.8179352984615968,0.1820647015384032,0.0,1.0,0,8,8,0
NJAAF,0,0.874102775462953,0.125897224537047,0.0,1.0,0,22,22,0
nolaAbortionFnd,0,0.8813125629864262,0.11868743701357373,0.0,1.0,0,23,23,0
NYAAF,0,0.8328173912537477,0.16718260874625238,0.0,1.0,0,21,21,0
PretermMAML,0,0.872018159925886,0.12798184007411395,0.04,0.96,1,24,25,0
prochoiceNSW,0,0.742492118219529,0.25750788178047107,0.0,0.0,0,0,0,0
RallyforChoice,0,0.8313125455106655,0.16868745448933453,0.0,1.0,0,12,12,0
RBraceySherman,0,0.7786838139750261,0.22131618602497388,0.0,1.0,0,23,23,0
robinmarty,0,0.6814190075347988,0.3185809924652013,0.36666666666666653,0.6333333333333333,11,19,30,0
roisiningle,0,0.8331975964682602,0.16680240353173983,0.0,1.0,0,12,12,0
Safe_Abortion,0,0.8239181527404073,0.17608184725959275,0.03448275862068965,0.9655172413793104,1,28,29,0
SeaChangeProg,0,0.8312707876836276,0.16872921231637233,0.03448275862068965,0.9655172413793104,1,28,29,0
ShoutYrAbortion,0,0.7661050983836113,0.23389490161638873,0.05882352941176471,0.9411764705882352,1,16,17,0
SisterSupporter,0,0.8187042780878759,0.18129572191212406,0.0,1.0,0,7,7,0
StephHerold,0,0.7632323606992809,0.23676763930071906,0.0,1.0,0,25,25,0
TammiKromenaker,0,0.8458694010525214,0.15413059894747866,0.0,1.0,0,7,7,0
Voice4ChoiceUK,0,0.8473576158899083,0.1526423841100917,0.0,1.0,0,8,8,0
WholeWomans,0,0.812739992227542,0.18726000777245805,0.03571428571428571,0.9642857142857144,1,27,28,0
