account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
LuiGui_FCh,1,0.4990200969200319,0.5009799030799681,1,0.5,0.5,1,1,2
lwsplash,0,0.7018351957793572,0.29816480422064284,-1,0.0,1.0,0,2,2
madelbean,0,0.6955708044451281,0.3044291955548719,-1,0.0,1.0,0,3,3
Manuela2day,1,0.1042688574148819,0.8957311425851181,1,0.833333333,0.166666667,5,1,6
margorice86,0,0.700752827473476,0.29924717252652394,-1,0.0,1.0,0,1,1
marthahorton2,0,0.607334142904435,0.392665857095565,1,1.0,0.0,1,0,1
mikealfinito,1,0.3422868551638705,0.6577131448361295,1,1.0,0.0,1,0,1
MikeMorganMN,0,0.6190620822684955,0.38093791773150454,1,1.0,0.0,1,0,1
misbehavens,0,0.6125458080409016,0.3874541919590984,1,1.0,0.0,4,0,4
miskinlaw,0,0.6976956245738584,0.3023043754261416,-1,0.0,1.0,0,5,5
miss_kGa,1,0.42720021184645596,0.572799788153544,1,0.875,0.125,7,1,8
Miss_Sam_Kelly,0,0.6190620822684955,0.38093791773150454,1,1.0,0.0,1,0,1
MJLucey,0,0.6717381455812267,0.3282618544187733,-1,0.0,1.0,0,2,2
molly_trivette,1,0.4211006511261959,0.5788993488738041,1,1.0,0.0,6,0,6
MonetteStephen,1,0.31083834325477744,0.6891616567452226,1,1.0,0.0,17,0,17
Morgan0livia,0,0.6056332338312473,0.39436676616875266,-1,0.0,1.0,0,1,1
Mr_TomMyers,0,0.6888473119911901,0.3111526880088099,-1,0.0,1.0,0,1,1
MrsDoma,1,0.15646877898857614,0.8435312210114239,1,0.944444444,0.055555556,17,1,18
Muir_maid,0,0.8308528630424064,0.16914713695759367,-1,0.0,1.0,0,3,3
okinnear3,0,0.7200655536289388,0.27993444637106124,-1,0.0,1.0,0,1,1
OnlyGirlOfTen,1,0.20886114885996487,0.7911388511400351,1,0.9375,0.0625,15,1,16
PatKernanQuinn,0,0.5214849871952277,0.47851501280477227,-1,0.875,0.125,7,1,8
Pearl_Barney,0,0.638772465518824,0.3612275344811759,1,0.0,0.0,0,0,0
PeterJohnRowe,1,0.43138291288117603,0.568617087118824,1,1.0,0.0,2,0,2
ProfHarlan,0,0.6894750187430405,0.31052498125695943,-1,0.0,1.0,0,1,1
Prolifefriend,1,0.08205509214930529,0.9179449078506947,1,0.96875,0.03125,31,1,32
rabbrady,1,0.20134563863411226,0.7986543613658877,1,1.0,0.0,4,0,4
realsophieyates,0,0.7076882980944864,0.2923117019055136,-1,0.0,1.0,0,3,3
RebeccaG2012,1,0.22719505115566652,0.7728049488443335,1,1.0,0.0,4,0,4
RedPillSlayer,0,0.6231107928498232,0.37688920715017676,1,0.0,0.0,0,0,0
regright,0,0.5564830610748086,0.44351693892519145,1,1.0,0.0,1,0,1
ReinyDey,1,0.09367903863698446,0.9063209613630155,1,0.954545455,0.045454545,21,1,22
RepMyers,0,0.667925755317492,0.33207424468250807,-1,0.0,1.0,0,3,3
richard_bushey,1,0.2070137762129639,0.7929862237870361,1,1.0,0.0,2,0,2
richellenicole,0,0.6045839727777231,0.3954160272222769,-1,0.0,1.0,0,1,1
riconservative,0,0.5465280024976548,0.45347199750234524,1,1.0,0.0,5,0,5
rjg27,0,0.6292103427050699,0.37078965729493013,1,1.0,0.0,1,0,1
RKCSouthern,0,0.6155601528883585,0.3844398471116415,1,1.0,0.0,1,0,1
RockBautumn,0,0.7000462927606441,0.2999537072393558,-1,0.0,1.0,0,1,1
Rodrigo_Bares,0,0.6514893476047876,0.3485106523952124,-1,0.0,1.0,0,1,1
RooForLife,1,0.16198648473631772,0.8380135152636823,1,0.96969697,0.03030303,32,1,33
RoseAntonia13,0,0.6886600744802753,0.3113399255197247,-1,0.0,1.0,0,2,2
RoxieToxic_,0,0.6888473119911901,0.3111526880088099,-1,0.0,1.0,0,11,11
RyanBizarri,1,0.19028707709228232,0.8097129229077177,1,1.0,0.0,11,0,11
samscrta,0,0.6880616008344755,0.3119383991655244,-1,0.0,1.0,0,2,2
SamuelRWeaver1,1,0.0944933789567356,0.9055066210432644,1,1.0,0.0,3,0,3
scarr6612,0,0.5692594311711546,0.43074056882884537,-1,0.875,0.125,7,1,8
scopferbrace,0,0.6753680332922496,0.3246319667077504,-1,0.0,1.0,0,1,1
sexualhealthns,0,0.8083804471279625,0.19161955287203747,-1,0.0,1.0,0,9,9
shaunkenyon1967,0,0.6190620822684955,0.38093791773150454,-1,0.0,1.0,0,6,6
SheriTreadwell,0,0.6686486227432645,0.33135137725673547,1,1.0,0.0,2,0,2
ShinobiShawn2,0,0.6234816226489333,0.3765183773510667,1,1.0,0.0,2,0,2
ShooguhLipz,0,0.7068336785929024,0.2931663214070977,-1,0.0,1.0,0,8,8
SimonCookeMSI,0,0.6960777836443763,0.3039222163556237,-1,0.0,1.0,0,5,5
sineadgallivann,0,0.6066324566600397,0.39336754333996027,-1,0.0,0.0,0,0,0
soihadanabort,0,0.5741843192962,0.4258156807038,-1,0.05,0.95,1,19,20
sojourner_blanc,0,0.6529168334150142,0.34708316658498584,-1,0.0,1.0,0,2,2
strangemoore,0,0.7161354210039077,0.28386457899609235,-1,0.0,1.0,0,1,1
sydneyrenee3,0,0.5573339157849795,0.4426660842150205,-1,0.0,1.0,0,1,1
T2theGuajardo,1,0.2895150037359172,0.7104849962640828,1,1.0,0.0,5,0,5
The_Alma_D,0,0.6242634801142566,0.3757365198857434,-1,0.0,1.0,0,13,13
thejacksonlacy,0,0.6811458527151798,0.3188541472848202,-1,0.0,1.0,0,1,1
thejessicaraven,0,0.7335185505428978,0.2664814494571022,-1,0.25,0.75,1,3,4
TheOpenMicah,0,0.597680182265595,0.4023198177344049,1,1.0,0.0,2,0,2
tideslifefaith,1,0.27620102288691484,0.7237989771130852,1,1.0,0.0,4,0,4
tjbayus1,0,0.6173018034795348,0.38269819652046516,1,1.0,0.0,1,0,1
tkose98,0,0.6643204865146398,0.3356795134853602,-1,0.0,1.0,0,1,1
TomBurdolski,1,0.15770058645954432,0.8422994135404557,1,1.0,0.0,11,0,11
toratannerchung,0,0.7211504556995281,0.278849544300472,-1,0.0,1.0,0,1,1
Trevor_Horne,0,0.6643551854109339,0.33564481458906614,-1,0.0,1.0,0,1,1
trianglescheme,0,0.6907768099051859,0.3092231900948141,-1,0.0,1.0,0,7,7
turnerdina1,1,0.3247833152477012,0.6752166847522988,1,1.0,0.0,4,0,4
UKStorageGuru,0,0.6190620822684955,0.38093791773150454,1,1.0,0.0,1,0,1
vailkoyo,0,0.6367200592539618,0.3632799407460382,-1,0.0,1.0,0,2,2
VERASTEGUI100,1,0.10527305970081413,0.8947269402991859,1,0.947368421,0.052631579000000005,18,1,19
Vikar_Singh,0,0.6656307157821908,0.33436928421780915,-1,0.0,1.0,0,2,2
VLabarum,1,0.4383623424716392,0.5616376575283608,1,0.923076923,0.076923077,12,1,13
wafulkerson1,0,0.6066324566600397,0.39336754333996027,1,1.0,0.0,2,0,2
WarrenDavidson,1,0.24393979980301217,0.7560602001969878,1,0.9,0.1,9,1,10
WilsonRx,1,0.38081549133840875,0.6191845086615912,1,1.0,0.0,3,0,3
wordspurify27,0,0.5714097010471764,0.4285902989528237,-1,0.0,1.0,0,3,3
