account_name,predict_class,prochoice_strength,prolife_strength,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt,account_type,stance
AcpAbortion,0,0.7169701466640451,0.2830298533359549,0.03333333333333333,0.9666666666666668,1,29,30,0,0.5408043435552369
alranztweets,0,0.754934124120198,0.24506587587980205,0.0,1.0,0,7,7,0,0.744833114019188
BaltimoreFund,0,0.8764132517779004,0.12358674822209954,0.043478260869565216,0.9565217391304348,1,22,23,0,0.8706329049570911
BronxAbortion,0,0.7358985477352911,0.2641014522647089,0.0,1.0,0,13,13,0,0.7358985477352911
ChiAbortionFund,0,0.7991602024448279,0.2008397975551721,0.0,1.0,0,17,17,0,0.7563030595876851
DCAbortionFund,0,0.8100468116986395,0.18995318830136054,0.041666666666666664,0.9583333333333334,1,23,24,0,0.8031184052321267
Doctors4Choice,0,0.8450204687824756,0.15497953121752442,0.04,0.96,1,24,25,0,0.8113666226286295
Feminists4Life,1,0.13924955146755347,0.8607504485324465,1.0,0.0,5,0,5,0,-0.11769489297689095
freesafelegal,0,0.8259206134458655,0.17407938655413446,0.043478260869565216,0.9565217391304348,1,22,23,0,0.8206850113516246
LPJLeague,0,0.8353454871111037,0.16465451288889627,0.0,1.0,0,21,21,0,0.7984602412094643
MSFC,0,0.8370544648507143,0.16294553514928567,0.0,1.0,0,17,17,0,0.7876248070560375
NatAbortionFed,0,0.855614853545517,0.14438514645448305,0.0,1.0,0,26,26,0,0.8355031217019416
NCAbortionFund,0,0.7933807656286467,0.2066192343713533,0.0,1.0,0,21,21,0,0.7771923918243788
NDWINFund,0,0.8276754589205959,0.17232454107940395,0.0,1.0,0,14,14,0,0.8002781986466234
needabortionire,0,0.8179352984615968,0.1820647015384032,0.0,1.0,0,8,8,0,0.8179352984615968
NJAAF,0,0.874102775462953,0.125897224537047,0.0,1.0,0,22,22,0,0.8567617350005252
nolaAbortionFnd,0,0.8813125629864262,0.11868743701357372,0.0,1.0,0,23,23,0,0.8689158687715501
NYAAF,0,0.8328173912537477,0.16718260874625238,0.0,1.0,0,21,21,0,0.8035133619497183
PretermMAML,0,0.8720181599258859,0.12798184007411395,0.04,0.96,1,24,25,0,0.8463771342848604
RallyforChoice,0,0.8313125455106655,0.16868745448933453,0.0,1.0,0,12,12,0,0.8095734150758829
RBraceySherman,0,0.7786838139750261,0.22131618602497388,0.0,1.0,0,23,23,0,0.6675727028639149
robinmarty,0,0.6814190075347988,0.3185809924652013,0.3666666666666665,0.6333333333333333,11,19,30,0,0.3099904361062273
roisiningle,0,0.8331975964682602,0.16680240353173986,0.0,1.0,0,12,12,0,0.7101206733913371
Safe_Abortion,0,0.8239181527404073,0.17608184725959275,0.03448275862068965,0.9655172413793104,1,28,29,0,0.7843141923443677
SeaChangeProg,0,0.8312707876836276,0.16872921231637233,0.03448275862068965,0.9655172413793104,1,28,29,0,0.8107641531842307
ShoutYrAbortion,0,0.7661050983836113,0.23389490161638876,0.05882352941176471,0.9411764705882352,1,16,17,0,0.7535527971283812
SisterSupporter,0,0.8187042780878759,0.18129572191212406,0.0,1.0,0,7,7,0,0.7669801401568415
StephHerold,0,0.7632323606992809,0.23676763930071906,0.0,1.0,0,25,25,0,0.7258760388602005
TammiKromenaker,0,0.8458694010525214,0.15413059894747866,0.0,1.0,0,7,7,0,0.7394864223291171
Voice4ChoiceUK,0,0.8473576158899083,0.1526423841100917,0.0,1.0,0,8,8,0,0.7720887986856073
WholeWomans,0,0.812739992227542,0.18726000777245805,0.03571428571428571,0.9642857142857144,1,27,28,0,0.8019615491137695
