account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
katie_jacob55,0,0.5007014118827449,0.49929858811725514,-1,0.8888888888888888,0.1111111111111111,8,1,9
KatLTosh,0,0.7067195705113716,0.2932804294886284,-1,0.0,1.0,0,1,1
Keithhinton8,1,0.47806842686522766,0.5219315731347723,1,1.0,0.0,12,0,12
kelseamcbelsea,0,0.7191222773951447,0.2808777226048553,1,0.045454545454545456,0.9545454545454546,1,21,22
KGHerriott23,1,0.2985341095243733,0.7014658904756267,1,1.0,0.0,1,0,1
kgscanlon,1,0.3230890569724667,0.6769109430275333,1,0.9230769230769232,0.07692307692307693,12,1,13
kimidwa,0,0.6584467372867535,0.34155326271324654,1,1.0,0.0,3,0,3
Klaskarides,0,0.6853325787663149,0.3146674212336851,-1,0.0,1.0,0,1,1
KmTilley,0,0.7241095097956394,0.2758904902043606,-1,0.0,1.0,0,4,4
laurelmoth,0,0.8051465435363466,0.1948534564636534,-1,0.0,1.0,0,4,4
lifepathMAS,1,0.08883382890819547,0.9111661710918045,1,1.0,0.0,3,0,3
likallman,0,0.8051132276503143,0.19488677234968568,-1,0.0,1.0,0,1,1
Linzito85,0,0.6143088059074175,0.3856911940925825,1,0.0,0.0,0,0,0
littlemissevec,0,0.7366752776436906,0.26332472235630944,-1,0.0,1.0,0,7,7
Lizard_UK,0,0.6498090152764784,0.3501909847235216,1,1.0,0.0,1,0,1
LizYohnRN,0,0.677894388126081,0.3221056118739189,-1,0.0,1.0,0,17,17
LoriDeForest62,0,0.673240896779203,0.32675910322079704,-1,0.0,1.0,0,1,1
LuiGui_FCh,0,0.6401850399729757,0.3598149600270243,1,0.5,0.5,1,1,2
lwsplash,0,0.6826761844094363,0.31732381559056366,-1,0.0,1.0,0,2,2
madelbean,0,0.7535601691082577,0.24643983089174226,-1,0.0,1.0,0,3,3
Manuela2day,1,0.39882186245475226,0.6011781375452477,1,0.8333333333333334,0.16666666666666666,5,1,6
margorice86,0,0.6773939990249602,0.32260600097503983,-1,0.0,1.0,0,1,1
marthahorton2,0,0.5935567632284382,0.40644323677156186,1,1.0,0.0,1,0,1
mikealfinito,0,0.6887682215544157,0.3112317784455842,1,1.0,0.0,1,0,1
MikeMorganMN,1,0.45744135213203596,0.542558647867964,1,1.0,0.0,1,0,1
misbehavens,0,0.6574929004327545,0.3425070995672454,1,1.0,0.0,4,0,4
miskinlaw,0,0.6637603308622736,0.3362396691377264,-1,0.0,1.0,0,5,5
miss_kGa,0,0.6651417964716931,0.33485820352830686,1,0.875,0.125,7,1,8
Miss_Sam_Kelly,0,0.5587225189571456,0.4412774810428544,1,1.0,0.0,1,0,1
MJLucey,0,0.6492694805235532,0.35073051947644684,-1,0.0,1.0,0,2,2
molly_trivette,0,0.5389728035015127,0.4610271964984873,1,1.0,0.0,6,0,6
MonetteStephen,0,0.6604565754746109,0.3395434245253891,1,1.0,0.0,17,0,17
Morgan0livia,0,0.5956774893510158,0.40432251064898417,-1,0.0,1.0,0,1,1
Mr_TomMyers,0,0.6716295581646485,0.3283704418353514,-1,0.0,1.0,0,1,1
MrsDoma,0,0.5206753613515446,0.4793246386484554,1,0.9444444444444444,0.05555555555555555,17,1,18
