account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt,stance
debc51,1,0.4229311018911873,0.5770688981088127,1,0.9642857142857144,0.03571428571428571,27,1,28,-0.21234287071155244
defenderofthe8,1,0.4636693037868993,0.5363306962131007,1,1.0,0.0,20,0,20,-0.13633069621310068
Disciple4Lif,1,0.4565392856385378,0.5434607143614621,1,1.0,0.0,9,0,9,-0.07110199200273981
DrCNM,0,0.7911562913197764,0.20884370868022364,-1,0.0,1.0,0,8,8,0.41521644169571625
fedewa_agnes,1,0.2337226871636341,0.7662773128363659,1,0.9411764705882352,0.05882352941176471,16,1,17,-0.535910820689769
ffskennz,0,0.7417702931679889,0.25822970683201096,-1,0.0,1.0,0,5,5,0.4512297526274485
frederick5661,0,0.5724126277810699,0.4275873722189301,1,1.0,0.0,15,0,15,-0.18788148986598885
FreeSafeLegalUK,0,0.7601453990573144,0.2398546009426856,-1,0.21428571428571427,0.7857142857142857,3,11,14,0.6259172111378513
FriscoTx4Trump,0,0.7055406626523377,0.2944593373476622,1,1.0,0.0,14,0,14,0.28849446876814777
GermanAlcocer1,0,0.6758753710265122,0.3241246289734879,-1,0.0,1.0,0,5,5,0.27587537102651216
grammaviolet,0,0.7338863325460098,0.26611366745399023,-1,0.0,1.0,0,10,10,0.3632980972518921
Great_Scott79,0,0.6016323800817213,0.3983676199182787,1,1.0,0.0,9,0,9,-0.014367619918278729
HattieLadd,0,0.7987172881517952,0.2012827118482048,-1,0.0,1.0,0,12,12,0.526180600520768
HopeBeats,1,0.2459481634964311,0.7540518365035689,1,1.0,0.0,20,0,20,-0.6046615926011298
Hweininger,1,0.11689480743397986,0.8831051925660202,1,0.9642857142857144,0.03571428571428571,27,1,28,-0.6610835319162006
IWRising,0,0.8114992334673952,0.1885007665326048,-1,0.0,1.0,0,8,8,0.5587519807201424
jackeekgonzalez,0,0.6749897362127071,0.3250102637872929,1,0.9375,0.0625,15,1,16,0.15940899966879776
JessieQ_1,1,0.3264708337688769,0.6735291662311231,1,0.9696969696969696,0.030303030303030307,32,1,33,-0.4722512109595577
JPAndreas1,0,0.6730573251841802,0.32694267481581984,1,1.0,0.0,7,0,7,0.2567051239263185
julieburtonwmc,0,0.8753084083990945,0.12469159160090552,-1,0.0,1.0,0,6,6,0.4550694765649413
justinbook18,1,0.4006971052689367,0.5993028947310634,1,1.0,0.0,9,0,9,-0.267626758367427
JVanMaren,0,0.5801299715565968,0.4198700284434032,1,0.9,0.1,18,2,20,0.13124399514768464
katherine_ae,0,0.8207988372793205,0.17920116272067954,-1,0.0,1.0,0,6,6,0.4484726340707643
katie_jacob55,0,0.5233778049690148,0.4766221950309853,-1,0.8888888888888888,0.1111111111111111,8,1,9,0.17172945332066308
Keithhinton8,1,0.4970319280694666,0.5029680719305334,1,1.0,0.0,12,0,12,-0.2593015588029424
kelseamcbelsea,0,0.7425978440527583,0.2574021559472417,1,0.0,1.0,0,21,21,0.3318835583384726
kgscanlon,1,0.3422204494360113,0.6577795505639887,1,0.9230769230769232,0.07692307692307693,12,1,13,-0.2542469418683365
littlemissevec,0,0.7503952932410451,0.2496047067589549,-1,0.0,1.0,0,7,7,0.45289257880022
LizYohnRN,0,0.7006960878477233,0.29930391215227675,-1,0.0,1.0,0,17,17,0.3284333141250956
Manuela2day,1,0.4159515480524506,0.5840484519475494,1,0.8333333333333334,0.16666666666666666,5,1,6,-0.3822799632015687
miskinlaw,0,0.6811978394581668,0.31880216054183325,-1,0.0,1.0,0,5,5,0.2255277363653833
miss_kGa,0,0.6901933562308928,0.3098066437691071,1,0.875,0.125,7,1,8,0.31560863862291944
molly_trivette,0,0.5662670492305923,0.4337329507694077,1,1.0,0.0,6,0,6,-0.24623295076940765
MonetteStephen,0,0.6861437464579012,0.3138562535420988,1,1.0,0.0,17,0,17,0.23767046401515315
MrsDoma,0,0.5416985353547528,0.4583014646452473,1,0.9444444444444444,0.05555555555555555,17,1,18,-0.051424673814301713
OnlyGirlOfTen,1,0.2392899282618429,0.7607100717381571,1,0.9375,0.0625,15,1,16,-0.4685119109550066
PatKernanQuinn,0,0.6495744269397973,0.3504255730602027,-1,0.875,0.125,7,1,8,0.18295892425368832
Prolifefriend,1,0.17544001656454233,0.8245599834354577,1,0.96875,0.03125,31,1,32,-0.6365002819429203
ReinyDey,0,0.5046832285571532,0.4953167714428469,1,0.9545454545454546,0.045454545454545456,21,1,22,-0.11421650524941294
riconservative,0,0.6891683117766729,0.31083168822332696,1,1.0,0.0,5,0,5,0.2464662611132231
RooForLife,1,0.47974530383337394,0.5202546961666261,1,0.9696969696969696,0.030303030303030307,32,1,33,-0.2799169241627286
RoxieToxic_,0,0.7578836190435219,0.2421163809564781,-1,0.0,1.0,0,11,11,0.4662169523768552
RyanBizarri,0,0.6237037665956331,0.3762962334043669,1,1.0,0.0,11,0,11,0.2172998257089336
scarr6612,1,0.4754370865398878,0.5245629134601122,-1,0.875,0.125,7,1,8,0.1897228008256021
sexualhealthns,0,0.7834621060588789,0.2165378939411211,-1,0.0,1.0,0,9,9,0.4842817781900264
shaunkenyon1967,0,0.5892342403595042,0.4107657596404958,-1,0.0,1.0,0,6,6,0.3079842403595042
ShooguhLipz,0,0.7632094307014166,0.2367905692985835,-1,0.0,1.0,0,8,8,0.4648539099496546
SimonCookeMSI,0,0.8716668506159451,0.12833314938405496,-1,0.0,1.0,0,5,5,0.5712866224790629
soihadanabort,1,0.4950394780243286,0.5049605219756714,-1,0.05,0.95,1,19,20,0.22231220529705584
T2theGuajardo,0,0.543885810158484,0.456114189841516,1,1.0,0.0,5,0,5,-0.07493008602967488
The_Alma_D,0,0.7225985769473922,0.2774014230526078,-1,0.0,1.0,0,13,13,0.3479690570896565
TomBurdolski,0,0.5977743751108673,0.4022256248891327,1,1.0,0.0,11,0,11,-0.05788128054478836
trianglescheme,1,0.4526919324843541,0.5473080675156459,-1,0.0,1.0,0,7,7,-0.17699811645528696
VERASTEGUI100,1,0.4025380734638473,0.5974619265361527,1,0.9473684210526316,0.05263157894736842,18,1,19,-0.3790003880746142
VLabarum,0,0.6428956674962933,0.3571043325037066,1,0.9230769230769232,0.07692307692307693,12,1,13,-0.00019536066349712391
WarrenDavidson,0,0.6202858868947394,0.3797141131052605,1,0.9,0.1,9,1,10,0.17851881862164706
